,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2160,2,37,1,oración,-0.0272260680794715,-0.0160791538655757,0.0111469142138957,0.0127489008405741,0.0015859422778035,GPT-2,0.011146914213895801,0.0778529980657641
2161,3,37,1,oración,-0.0597653165459632,-0.0429411903023719,0.0168241262435913,0.0102653523332419,0.0013534774855699,GPT-2,0.016824126243591295,0.0778529980657641
2162,4,37,1,oración,-0.0782162770628929,-0.0747194737195968,0.003496803343296,0.0046862737731413,0.0012720443580039,GPT-2,0.0034968033432961065,0.0778529980657641
2163,5,37,1,oración,-0.0756980925798416,-0.0751324146986007,0.0005656778812408,0.0040495258339859,0.0012810705161409,GPT-2,0.0005656778812409002,0.0778529980657641
2164,6,37,1,oración,-0.0869849696755409,-0.0941201895475387,-0.0071352198719978,0.0022099248054338,0.0013141334037509,GPT-2,-0.0071352198719978055,0.0778529980657641
2165,7,37,1,oración,-0.0843597650527954,-0.08598093688488,-0.0016211718320846,0.007077143220429,0.0017524338287417,GPT-2,-0.0016211718320846003,0.0778529980657641
2166,8,37,1,oración,-0.0627870932221412,-0.0664002150297164,-0.0036131218075752,0.0133599026247541,0.0021261208536261,GPT-2,-0.003613121807575198,0.0778529980657641
2167,9,37,1,oración,-0.0528222173452377,-0.0376823507249355,0.0151398666203022,0.020010190956453,0.0026230844050259,GPT-2,0.0151398666203022,0.0778529980657641
2168,10,37,1,oración,-0.0655182600021362,-0.0406871102750301,0.024831149727106,0.0254147091157179,0.0033019749057338,GPT-2,0.0248311497271061,0.0778529980657641
2169,11,37,1,oración,-0.0458630323410034,-0.0332305170595645,0.0126325152814388,0.0258183518939829,0.0033397806915065,GPT-2,0.012632515281438897,0.0778529980657641
2170,12,37,1,oración,-0.0452598109841346,-0.0273178964853286,0.017941914498806,0.0313646246362081,0.0035394602982381,GPT-2,0.017941914498805996,0.0778529980657641
2171,0,37,2,oración,0.5325228571891785,0.5325228571891785,0.0,0.0,0.0,GPT-2,0.0,0.211063829787234
2172,1,37,2,oración,-0.0359390154480934,-0.0192504730075597,0.0166885424405336,0.008103385602342,0.0017484787756044,GPT-2,0.0166885424405337,0.211063829787234
2173,2,37,2,oración,-0.0755982920527458,-0.0595638044178485,0.0160344876348972,0.0127489008405741,0.0015859422778035,GPT-2,0.01603448763489731,0.211063829787234
2174,3,37,2,oración,-0.1079083681106567,-0.0976729989051818,0.0102353692054748,0.0102653523332419,0.0013534774855699,GPT-2,0.010235369205474895,0.211063829787234
2175,4,37,2,oración,-0.1198706030845642,-0.1260388195514679,-0.0061682164669036,0.0046862737731413,0.0012720443580039,GPT-2,-0.0061682164669037,0.211063829787234
2176,5,37,2,oración,-0.1147468015551567,-0.1282052099704742,-0.0134584084153175,0.0040495258339859,0.0012810705161409,GPT-2,-0.013458408415317494,0.211063829787234
2177,6,37,2,oración,-0.1205909922719001,-0.1344505846500396,-0.0138595923781394,0.0022099248054338,0.0013141334037509,GPT-2,-0.013859592378139496,0.211063829787234
2178,7,37,2,oración,-0.1208972558379173,-0.1312246024608612,-0.0103273466229438,0.007077143220429,0.0017524338287417,GPT-2,-0.010327346622943906,0.211063829787234
2179,8,37,2,oración,-0.1011369079351425,-0.1036281436681747,-0.0024912357330322,0.0133599026247541,0.0021261208536261,GPT-2,-0.002491235733032199,0.211063829787234
2180,9,37,2,oración,-0.0978436395525932,-0.0904004424810409,0.0074431970715522,0.020010190956453,0.0026230844050259,GPT-2,0.007443197071552304,0.211063829787234
2181,10,37,2,oración,-0.1025850027799606,-0.0826256871223449,0.0199593156576156,0.0254147091157179,0.0033019749057338,GPT-2,0.019959315657615703,0.211063829787234
2182,11,37,2,oración,-0.082411840558052,-0.0624742694199085,0.0199375711381435,0.0258183518939829,0.0033397806915065,GPT-2,0.01993757113814349,0.211063829787234
2183,12,37,2,oración,-0.0827745199203491,-0.0611027851700782,0.0216717347502708,0.0313646246362081,0.0035394602982381,GPT-2,0.021671734750270892,0.211063829787234
2184,0,38,1,función,0.3964971601963043,0.3964971601963043,0.0,0.0,0.0,GPT-2,0.0,-0.0090909090909091
2185,1,38,1,función,-0.0640183165669441,-0.0300028380006551,0.0340154785662889,0.008103385602342,0.0017484787756044,GPT-2,0.03401547856628899,-0.0090909090909091
2186,2,38,1,función,-0.0873060524463653,-0.0558210499584674,0.0314850024878978,0.0127489008405741,0.0015859422778035,GPT-2,0.0314850024878979,-0.0090909090909091
2187,3,38,1,función,-0.080324187874794,-0.051533006131649,0.0287911817431449,0.0102653523332419,0.0013534774855699,GPT-2,0.028791181743145003,-0.0090909090909091
2188,4,38,1,función,-0.0800119936466217,-0.0734375268220901,0.0065744668245315,0.0046862737731413,0.0012720443580039,GPT-2,0.006574466824531611,-0.0090909090909091
2189,5,38,1,función,-0.0853673070669174,-0.0888118669390678,-0.0034445598721504,0.0040495258339859,0.0012810705161409,GPT-2,-0.0034445598721503934,-0.0090909090909091
2190,6,38,1,función,-0.086588941514492,-0.0839814394712448,0.0026075020432472,0.0022099248054338,0.0013141334037509,GPT-2,0.002607502043247195,-0.0090909090909091
2191,7,38,1,función,-0.0861023887991905,-0.0731841251254081,0.0129182636737823,0.007077143220429,0.0017524338287417,GPT-2,0.01291826367378239,-0.0090909090909091
2192,8,38,1,función,-0.0997532457113266,-0.0790322124958038,0.0207210332155227,0.0133599026247541,0.0021261208536261,GPT-2,0.020721033215522794,-0.0090909090909091
2193,9,38,1,función,-0.1007591784000396,-0.0767118409276008,0.0240473374724388,0.020010190956453,0.0026230844050259,GPT-2,0.0240473374724388,-0.0090909090909091
2194,10,38,1,función,-0.0962842553853988,-0.0604294314980506,0.0358548238873481,0.0254147091157179,0.0033019749057338,GPT-2,0.035854823887348196,-0.0090909090909091
2195,11,38,1,función,-0.0715614855289459,-0.0385826081037521,0.0329788774251937,0.0258183518939829,0.0033397806915065,GPT-2,0.032978877425193794,-0.0090909090909091
2196,12,38,1,función,-0.0832904204726219,-0.0467489026486873,0.0365415178239345,0.0313646246362081,0.0035394602982381,GPT-2,0.036541517823934604,-0.0090909090909091
2197,0,38,2,función,0.3016662895679474,0.3016662895679474,0.0,0.0,0.0,GPT-2,0.0,0.515856236786469
2198,1,38,2,función,0.0030187307856976,0.0035563164856284,0.0005375856999307,0.008103385602342,0.0017484787756044,GPT-2,0.0005375856999307997,0.515856236786469
2199,2,38,2,función,-0.0418132133781909,-0.0326330512762069,0.009180162101984,0.0127489008405741,0.0015859422778035,GPT-2,0.009180162101983996,0.515856236786469
2200,3,38,2,función,-0.0591789484024047,-0.0442821569740772,0.0148967914283275,0.0102653523332419,0.0013534774855699,GPT-2,0.014896791428327505,0.515856236786469
2201,4,38,2,función,-0.0671223849058151,-0.0590426735579967,0.0080797113478183,0.0046862737731413,0.0012720443580039,GPT-2,0.008079711347818395,0.515856236786469
2202,5,38,2,función,-0.0775563418865203,-0.0719823241233825,0.0055740177631378,0.0040495258339859,0.0012810705161409,GPT-2,0.0055740177631378035,0.515856236786469
2203,6,38,2,función,-0.0798068866133689,-0.0830403715372085,-0.0032334849238395,0.0022099248054338,0.0013141334037509,GPT-2,-0.003233484923839597,0.515856236786469
2204,7,38,2,función,-0.089005246758461,-0.0835530012845993,0.0054522454738616,0.007077143220429,0.0017524338287417,GPT-2,0.005452245473861694,0.515856236786469
2205,8,38,2,función,-0.0922227278351783,-0.0750630125403404,0.0171597152948379,0.0133599026247541,0.0021261208536261,GPT-2,0.01715971529483791,0.515856236786469
2206,9,38,2,función,-0.1022270023822784,-0.0662997663021087,0.0359272360801696,0.020010190956453,0.0026230844050259,GPT-2,0.035927236080169705,0.515856236786469
2207,10,38,2,función,-0.0884622037410736,-0.0370938777923584,0.0513683259487152,0.0254147091157179,0.0033019749057338,GPT-2,0.051368325948715196,0.515856236786469
2208,11,38,2,función,-0.0713826268911361,-0.0180348362773656,0.0533477906137704,0.0258183518939829,0.0033397806915065,GPT-2,0.0533477906137705,0.515856236786469
2209,12,38,2,función,-0.0870683640241622,-0.0139807732775807,0.0730875907465815,0.0313646246362081,0.0035394602982381,GPT-2,0.0730875907465815,0.515856236786469
2210,0,39,1,obra,0.2409314811229705,0.2409314811229705,0.0,0.0,0.0,GPT-2,0.0,0.0629074315514994
2211,1,39,1,obra,0.011479259468615,0.03975535556674,0.0282760960981249,0.008103385602342,0.0017484787756044,GPT-2,0.028276096098125002,0.0629074315514994
2212,2,39,1,obra,-0.0190865341573953,0.0084377080202102,0.0275242421776056,0.0127489008405741,0.0015859422778035,GPT-2,0.0275242421776055,0.0629074315514994
2213,3,39,1,obra,-0.0338226854801178,-0.0225435029715299,0.0112791825085878,0.0102653523332419,0.0013534774855699,GPT-2,0.011279182508587896,0.0629074315514994
2214,4,39,1,obra,-0.0348507352173328,-0.0339569002389907,0.000893834978342,0.0046862737731413,0.0012720443580039,GPT-2,0.0008938349783420979,0.0629074315514994
2215,5,39,1,obra,-0.0379380919039249,-0.0438388027250766,-0.0059007108211517,0.0040495258339859,0.0012810705161409,GPT-2,-0.005900710821151699,0.0629074315514994
2216,6,39,1,obra,-0.0562085434794425,-0.0628994703292846,-0.006690926849842,0.0022099248054338,0.0013141334037509,GPT-2,-0.006690926849842099,0.0629074315514994
2217,7,39,1,obra,-0.0579525530338287,-0.049368429929018,0.0085841231048107,0.007077143220429,0.0017524338287417,GPT-2,0.0085841231048107,0.0629074315514994
2218,8,39,1,obra,-0.0622754245996475,-0.0455454774200916,0.0167299471795558,0.0133599026247541,0.0021261208536261,GPT-2,0.0167299471795559,0.0629074315514994
2219,9,39,1,obra,-0.0687626749277114,-0.0502374991774559,0.0185251757502555,0.020010190956453,0.0026230844050259,GPT-2,0.0185251757502555,0.0629074315514994
2220,10,39,1,obra,-0.0603437796235084,-0.044539488852024,0.0158042907714843,0.0254147091157179,0.0033019749057338,GPT-2,0.015804290771484396,0.0629074315514994
2221,11,39,1,obra,-0.0469725914299488,-0.015419315546751,0.0315532758831977,0.0258183518939829,0.0033397806915065,GPT-2,0.0315532758831978,0.0629074315514994
2222,12,39,1,obra,-0.0513558909296989,-0.0137900859117507,0.0375658050179481,0.0313646246362081,0.0035394602982381,GPT-2,0.037565805017948206,0.0629074315514994
2223,0,39,2,obra,0.2236369550228119,0.2236369550228119,0.0,0.0,0.0,GPT-2,0.0,0.305690072639225
2224,1,39,2,obra,-0.0070107262581586,-0.0126743344590067,-0.0056636082008481,0.008103385602342,0.0017484787756044,GPT-2,-0.0056636082008481,0.305690072639225
