,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2055,1,33,1,partido,-0.0147568117827177,-0.0090194642543792,0.0057373475283384,0.0072556414364024,0.0018334550467256,GPT2,0.3887931629688291,0.314340588988476
2056,2,33,1,partido,-0.0344333313405513,-0.0260644741356372,0.008368857204914,0.0117586309813517,0.0015758407862501,GPT2,0.24304523782914667,0.314340588988476
2057,3,33,1,partido,-0.0490644499659538,-0.0509817712008953,-0.0019173212349414,0.0093377059315668,0.001337954014567,GPT2,-0.03907760580770695,0.314340588988476
2058,4,33,1,partido,-0.0675776675343513,-0.0859516859054565,-0.0183740183711051,0.0036490652313891,0.0012809097812257,GPT2,-0.27189482918695396,0.314340588988476
2059,5,33,1,partido,-0.0609771236777305,-0.0862443298101425,-0.0252672061324119,0.0027583396121701,0.0013073444123684,GPT2,-0.41437189241577593,0.314340588988476
2060,6,33,1,partido,-0.0393200032413005,-0.0752657949924469,-0.0359457917511463,0.0009515941777127,0.0012896677425232,GPT2,-0.9141858796539992,0.314340588988476
2061,7,33,1,partido,-0.0382671914994716,-0.0827458724379539,-0.0444786809384822,0.0058697552539091,0.0016660939255716,GPT2,-1.162318926360103,0.314340588988476
2062,8,33,1,partido,-0.0699196755886077,-0.0905150696635246,-0.0205953940749168,0.0124115632311936,0.0020811193334741,GPT2,-0.29455791809012033,0.314340588988476
2063,9,33,1,partido,-0.0594878420233726,-0.0780016928911209,-0.0185138508677482,0.019153790508813,0.0025637835686533,GPT2,-0.3112207509641089,0.314340588988476
2064,10,33,1,partido,-0.054987609386444,-0.0834307745099067,-0.0284431651234626,0.0245484481714269,0.0032758754261026,GPT2,-0.5172649882552403,0.314340588988476
2065,11,33,1,partido,-0.0247252359986305,-0.0490254610776901,-0.0243002250790596,0.0249562705272531,0.0033842132704647,GPT2,-0.9828106425518267,0.314340588988476
2066,12,33,1,partido,-0.0377786122262477,-0.0449709184467792,-0.0071923062205314,0.0303520350122546,0.0035309770269601,GPT2,-0.19038037123911236,0.314340588988476
2067,0,33,2,partido,0.305374801158905,0.305374801158905,0.0,0.0,0.0,GPT2,0.0,-0.0331278890600925
2068,1,33,2,partido,-0.0433450192213058,-0.0127184353768825,0.0306265838444232,0.0072556414364024,0.0018334550467256,GPT2,0.7065767738630767,-0.0331278890600925
2069,2,33,2,partido,-0.0909296050667762,-0.0350415259599685,0.0558880791068077,0.0117586309813517,0.0015758407862501,GPT2,0.6146301753511966,-0.0331278890600925
2070,3,33,2,partido,-0.100080594420433,-0.0668104290962219,0.0332701653242111,0.0093377059315668,0.001337954014567,GPT2,0.3324337302039294,-0.0331278890600925
2071,4,33,2,partido,-0.1139903888106346,-0.0904291421175003,0.0235612466931343,0.0036490652313891,0.0012809097812257,GPT2,0.20669502875611015,-0.0331278890600925
2072,5,33,2,partido,-0.1136734187602996,-0.0959808081388473,0.0176926106214523,0.0027583396121701,0.0013073444123684,GPT2,0.15564422020912633,-0.0331278890600925
2073,6,33,2,partido,-0.1066667437553405,-0.0943717956542968,0.0122949481010437,0.0009515941777127,0.0012896677425232,GPT2,0.1152650551445012,-0.0331278890600925
2074,7,33,2,partido,-0.1092080622911453,-0.0771290734410286,0.0320789888501167,0.0058697552539091,0.0016660939255716,GPT2,0.29374194704228995,-0.0331278890600925
2075,8,33,2,partido,-0.1292125582695007,-0.0583190731704235,0.0708934850990772,0.0124115632311936,0.0020811193334741,GPT2,0.5486578553085647,-0.0331278890600925
2076,9,33,2,partido,-0.1080571562051773,-0.0329806208610534,0.0750765353441238,0.019153790508813,0.0025637835686533,GPT2,0.694785407840733,-0.0331278890600925
2077,10,33,2,partido,-0.0945936813950538,-0.0395974293351173,0.0549962520599365,0.0245484481714269,0.0032758754261026,GPT2,0.5813945630285217,-0.0331278890600925
2078,11,33,2,partido,-0.0660881549119949,-0.0404306389391422,0.0256575159728527,0.0249562705272531,0.0033842132704647,GPT2,0.38823168852298984,-0.0331278890600925
2079,12,33,2,partido,-0.0628536194562912,-0.029384296387434,0.0334693230688571,0.0303520350122546,0.0035309770269601,GPT2,0.5324963519743199,-0.0331278890600925
2080,0,34,1,campaña,0.43657386302948,0.43657386302948,0.0,0.0,0.0,GPT2,0.0,0.153743315508021
2081,1,34,1,campaña,-0.0257990695536136,-0.0043521169573068,0.0214469525963068,0.0072556414364024,0.0018334550467256,GPT2,0.8313072125232047,0.153743315508021
2082,2,34,1,campaña,-0.0594271048903465,-0.0394028946757316,0.0200242102146148,0.0117586309813517,0.0015758407862501,GPT2,0.33695416008508405,0.153743315508021
2083,3,34,1,campaña,-0.079859934747219,-0.0677391588687896,0.0121207758784294,0.0093377059315668,0.001337954014567,GPT2,0.15177542927871585,0.153743315508021
2084,4,34,1,campaña,-0.1014163494110107,-0.0982088595628738,0.0032074898481369,0.0036490652313891,0.0012809097812257,GPT2,0.03162695035627724,0.153743315508021
2085,5,34,1,campaña,-0.108758345246315,-0.1053304523229599,0.0034278929233551,0.0027583396121701,0.0013073444123684,GPT2,0.03151843580914769,0.153743315508021
2086,6,34,1,campaña,-0.1136986762285232,-0.1072615683078765,0.0064371079206466,0.0009515941777127,0.0012896677425232,GPT2,0.056615504543858886,0.153743315508021
2087,7,34,1,campaña,-0.1137057468295097,-0.1155799925327301,-0.0018742457032203,0.0058697552539091,0.0016660939255716,GPT2,-0.016483297946502665,0.153743315508021
2088,8,34,1,campaña,-0.1232562288641929,-0.1165234446525573,0.0067327842116355,0.0124115632311936,0.0020811193334741,GPT2,0.05462429179992158,0.153743315508021
2089,9,34,1,campaña,-0.1356542110443115,-0.1262390315532684,0.009415179491043,0.019153790508813,0.0025637835686533,GPT2,0.06940572960147635,0.153743315508021
2090,10,34,1,campaña,-0.1167975217103958,-0.1119606643915176,0.0048368573188781,0.0245484481714269,0.0032758754261026,GPT2,0.041412328344358075,0.153743315508021
2091,11,34,1,campaña,-0.0963727086782455,-0.0863953456282615,0.0099773630499839,0.0249562705272531,0.0033842132704647,GPT2,0.10352892625748336,0.153743315508021
2092,12,34,1,campaña,-0.0870836898684501,-0.074058324098587,0.0130253657698631,0.0303520350122546,0.0035309770269601,GPT2,0.14957296583940588,0.153743315508021
2093,0,34,2,campaña,0.4036663174629211,0.4036663174629211,0.0,0.0,0.0,GPT2,0.0,0.0784313725490196
2094,1,34,2,campaña,-0.0818137526512146,-0.0844337493181228,-0.0026199966669082,0.0072556414364024,0.0018334550467256,GPT2,-0.03202391507547232,0.0784313725490196
2095,2,34,2,campaña,-0.1432259380817413,-0.136739432811737,0.0064865052700042,0.0117586309813517,0.0015758407862501,GPT2,0.045288621299183596,0.0784313725490196
2096,3,34,2,campaña,-0.1673961579799652,-0.165403738617897,0.0019924193620681,0.0093377059315668,0.001337954014567,GPT2,0.011902419900859771,0.0784313725490196
2097,4,34,2,campaña,-0.1855554282665252,-0.1820050626993179,0.0035503655672073,0.0036490652313891,0.0012809097812257,GPT2,0.01913371977513743,0.0784313725490196
2098,5,34,2,campaña,-0.1858845055103302,-0.1726396083831787,0.0132448971271514,0.0027583396121701,0.0013073444123684,GPT2,0.07125336827181342,0.0784313725490196
2099,6,34,2,campaña,-0.1873827874660492,-0.1677558422088623,0.0196269452571868,0.0009515941777127,0.0012896677425232,GPT2,0.10474251943094284,0.0784313725490196
2100,7,34,2,campaña,-0.1871800273656845,-0.1761304289102554,0.011049598455429,0.0058697552539091,0.0016660939255716,GPT2,0.059031930975424224,0.0784313725490196
2101,8,34,2,campaña,-0.1852225512266159,-0.1720786839723587,0.0131438672542572,0.0124115632311936,0.0020811193334741,GPT2,0.07096256458629574,0.0784313725490196
2102,9,34,2,campaña,-0.1865220367908477,-0.1761292219161987,0.010392814874649,0.019153790508813,0.0025637835686533,GPT2,0.05571896518749011,0.0784313725490196
2103,10,34,2,campaña,-0.166164681315422,-0.1634139865636825,0.0027506947517395,0.0245484481714269,0.0032758754261026,GPT2,0.01655402778715651,0.0784313725490196
2104,11,34,2,campaña,-0.1338297128677368,-0.1414529532194137,-0.0076232403516769,0.0249562705272531,0.0033842132704647,GPT2,-0.056962240957738004,0.0784313725490196
2105,12,34,2,campaña,-0.1118652820587158,-0.1187679767608642,-0.0069026947021484,0.0303520350122546,0.0035309770269601,GPT2,-0.06170542437398327,0.0784313725490196
2106,0,35,1,estado,0.2099960446357727,0.2099960446357727,0.0,0.0,0.0,GPT2,0.0,0.192006269592476
2107,1,35,1,estado,-0.0476186349987983,-0.0416432842612266,0.0059753507375717,0.0072556414364024,0.0018334550467256,GPT2,0.12548345280629097,0.192006269592476
